200;3;4;4;1;0.8;0.2;0.000001;15000;1
1;0;0;0;3;0
2;0;0;2;3;3
3;0;0;1;3;3
4;0;1;0;1;1
5;0;1;2;1;1
6;0;1;1;1;0
7;0;2;0;1;1
8;0;2;2;1;1
9;0;2;1;1;0
10;0;3;0;1;1
11;0;3;2;1;1
12;0;3;1;1;0
13;1;0;0;2;2
14;1;0;2;2;0
15;1;0;1;2;2
16;1;1;0;0;0
17;1;1;2;0;0
18;1;1;1;0;0
19;1;2;0;1;1
20;1;2;2;1;1
21;1;2;1;1;0
22;1;3;0;1;1
23;1;3;2;1;1
24;1;3;1;1;0
25;2;0;0;2;2
26;2;0;2;2;0
27;2;0;1;2;2
28;2;1;0;2;2
29;2;1;2;2;0
30;2;1;1;2;2
31;2;2;0;0;0
32;2;2;2;0;0
33;2;2;1;0;0
34;2;3;0;1;1
35;2;3;2;1;1
36;2;3;1;1;0
37;3;0;0;2;2
38;3;0;2;2;0
39;3;0;1;2;2
40;3;1;0;2;2
41;3;1;2;2;0
42;3;1;1;2;2
43;3;2;0;2;2
44;3;2;2;2;0
45;3;2;1;2;2
46;3;3;0;0;0
47;3;3;2;2;0
48;3;3;1;2;2
